"Comunidad";"Provincia";"Poblacion";"Latitud";"Longitud";"Habitantes";"Hombres";"Mujeres"
"Madrid";"Madrid";"Madrid";"40.41669";"-3.700346";3255944;1532079;1723865
"Catalunya";"Barcelona";"Barcelona";"41.38792";"2.169919";1621537;771570;849967
"Valencia";"Valencia/València";"Valencia";"39.47024";"-0.3768049";814208;392300;421908
"Andalucía";"Sevilla";"Sevilla";"37.38264";"-5.996295";703206;335097;368109
"Aragón";"Zaragoza";"Zaragoza";"41.65629";"-0.8765379";674317;328470;345847
"Andalucía";"Málaga";"Málaga";"36.71965";"-4.420019";568305;274209;294096
"Murcia";"Murcia";"Murcia";"37.98344";"-1.12989";436870;216744;220126
"Islas Baleares";"Illes Balears";"Palma";"39.56951";"2.649966";401270;197436;203834
"Canarias";"Las Palmas";"Palmas de Gran Canaria (Las)";"28.12482";"-15.43001";381847;186191;195656
"País Vasco";"Vizcaya";"Bilbao";"43.25696";"-2.923441";354860;168019;186841
"Valencia";"Alicante/Alacant";"Alicante/Alacant";"38.3452";"-0.481006";334757;162853;171904
"Andalucía";"Córdoba";"Córdoba";"37.88473";"-4.779152";328428;158233;170195
"Castilla León";"Valladolid";"Valladolid";"41.65295";"-4.728388";317864;151570;166294
"Galicia";"Pontevedra";"Vigo";"42.23136";"-8.712447";297332;141720;155612
"Asturias";"Asturias";"Gijón";"43.54526";"-5.661926";277554;131594;145960
"Catalunya";"Barcelona";"Hospitalet de Llobregat (L')";"41.35958";"2.099704";257038;126459;130579
"Galicia";"A Coruña";"Coruña (A)";"43.37087";"-8.395835";246056;114498;131558
"País Vasco";"Álava";"Vitoria-Gasteiz";"42.84641";"-2.667893";235661;116278;119383
"Andalucía";"Granada";"Granada";"37.17649";"-3.597929";234325;108745;125580
"Valencia";"Alicante/Alacant";"Elche/Elx";"38.2655";"-0.6984587";230112;115289;114823
"Asturias";"Asturias";"Oviedo";"43.36026";"-5.844759";224005;104605;119400
"Canarias";"Santa Cruz de Tenerife";"Santa Cruz de Tenerife";"28.46981";"-16.25486";222417;106829;115588
"Catalunya";"Barcelona";"Badalona";"41.45014";"2.24742";219547;110185;109362
