siteID	name	address	cp	city	phone	lat	lng	email	prov	prov_abbr	open	opening_date	company_iban	company_bizum	company_phone	company_email	company_cif	company_name	company_address	services	schedule_rest	schedule_rest_week	schedule_rest_weekend	schedule_rest_sunday	schedule_rest_festive	schedule_mcexpress	schedule_mcexpress_week	schedule_mcexpress_weekend	schedule_mcexpress_sunday	schedule_mcexpress_festive	schedule_mcauto	schedule_mcauto_week	schedule_mcauto_weekend	schedule_mcauto_sunday	schedule_mcauto_festive	schedule_24h
534	La Coruña La Grela	C/ Severo Ochoa, nº 6 | Poligono La Grela	15008	La Coruña	981101177	43.349708	-8.420525	corunalagrela.534@es.mcd.com	La Coruña	C	true	false	false	false	false	false				McAuto|McCafé|Desayunos|Parking|Terraza|Delivery	true	10:00-00:00	10:00-00:00	10:00-00:00	10:00-00:00	false	false	false	false	false	true	10:00-01:00	10:00-01:00	10:00-01:00	10:00-01:00	false
797	Coruña Marineda	Carretera Baños de Arteixo, nº 43 A Coruña	15008	La Coruña	981632442	43.34436	-8.428445	corunamarineda.797@es.mcd.com	La Coruña	C	true	false	false	false	false	false				Parking|Delivery	true	12:00-23:00	12:00-00:00	12:00-23:00	12:00-23:00	false	false	false	false	false	false	false	false	false	false	false
599	Coruña Perillo	Avda. Das Mariñas (N-VI) | cruce calle Pegaso 2; Oleiros- A Coruña	15172	Perillo	682342558	43.32701	-8.363801	corunaperillo.599@es.mcd.com	La Coruña	C	true	false	false	false	false	false				McAuto|McCafé|Desayunos|Parking|Terraza|Delivery	true	10:00-00:00	10:00-00:00	10:00-00:00	10:00-00:00	false	false	false	false	false	true	10:00-01:00	10:00-01:00	10:00-01:00	10:00-01:00	false
348	Ferrol	Polígono Ind. "Ensenada de la Gándara" | Avda Nicasio Pérez, s/n	15407	Ferrol	650837341	43.488	-8.20214		La Coruña	C	true	false	false	false	false	false				McAuto|McCafé|Desayunos|Parking|Terraza|Servicio a mesa|Delivery	true	10:00-00:00	10:00-00:00	10:00-00:00	10:00-00:00	false	false	false	false	false	true	10:00-01:00	10:00-01:00	10:00-01:00	10:00-01:00	false
332	Santiago	Plaza de España, s/n	15703	Santiago de Compostela	981554132	42.8918	-8.53285	santiagofs.332@es.mcd.com	La Coruña	C	true	false	false	false	false	false				McAuto|Desayunos|Parking|Terraza|Servicio a mesa|Ticket|Delivery|Descuento familias numerosas|24H|Para llevar	true	08:00-00:00	08:00-00:00	08:00-00:00	08:00-00:00	false	false	false	false	false	true	00:00-00:00	00:00-00:00	00:00-00:00	00:00-00:00	all
446	Lugo	Centro Comercial "As Termas" | Avda. Infanta Elena | Duquesa de Lugo, s/n	27003	Lugo	982219990	43.038187	-7.568421	lugo.446@es.mcd.com	Lugo	LU	true	false	false	false	false	false				Parking|Terraza|Minusválidos|Ticket|Delivery|Descuento familias numerosas|Para llevar	true	12:30-23:00	12:30-23:30	13:00-23:00	12:30-23:30	false	false	false	false	false	false	false	false	false	false	false
784	Lugo Universidad	Avenida de Madrid, s/n	27002	Lugo	982257300	42.997466	-7.545157	lugouniversidad.784@es.mcd.com	Lugo	LU	true	false	false	false	false	false				McAuto|McCafé|Play Place|Parking|Terraza|Minusválidos|Cumpleaños|Ticket|Delivery|Descuento familias numerosas|Para llevar	true	12:00-00:00	12:00-00:00	12:00-00:00	12:00-00:00	false	false	false	false	false	true	12:00-00:00	12:00-00:00	12:00-00:00	12:00-00:00	
368	McDonald's Villagarcia	Puerto Deportivo, s/n	36600	Villagarcía de Arousa	986500042	42.5983	-8.76774	villagarcia.368@es.mcd.com	Pontevedra	PO	true	false	false	false	986500042	villagarcia.368@es.mcd.com	B-36599504	Tritatra Restauración SLU	B36599504	McAuto|Terraza|Minusválidos|Cumpleaños|Ticket|Descuento familias numerosas|Para llevar|Cumpleaños en casa	true	12:30-00:00	12:30-00:00	12:30-00:00	12:30-00:00	false	false	false	false	false	true	12:30-02:00	12:30-03:00	12:30-02:00	12:30-02:00	
23	Palma Pío XII	Plaza Juan Carlos I, nº 7	07012	Palma de Mallorca	971718485	39.5712	2.64731	palmapioxII.23@es.mcd.com	Islas Baleares	PM	true	false	false	false	false	false				McCafé|Desayunos|Terraza|Delivery|Para llevar	true	09:00-00:00	10:00-00:00	10:00-00:00	10:00-00:00	false	false	false	false	false	false	false	false	false	false	false
405	Palma Avenidas	C/ Nuredduna, nº1 - Bajos	07006	Palma de Mallorca	971468398	39.5729	2.65732	palmaavenidas.405@es.mcd.com	Islas Baleares	PM	true	false	false	false	false	false	B57948044	Good&Fast Mallorca Avenidas 	Nuredduna 1	McCafé|Terraza|Signature|Minusválidos|Ticket|Delivery|Descuento familias numerosas|Para llevar	true	11:30-00:00	11:30-00:00	11:30-00:00	11:30-00:00	false	false	false	false	false	false	false	false	false	false	false
739	Palma Plaza España	Plaza España, nº 3	07002	Palma de Mallorca	971853951	39.576033	2.652946	palmaplazaespana.739@es.mcd.com	Islas Baleares	PM	true	false	false	false	false	false	B16527749	Good&Fast Mallorca Plaza SLU	PLAZA DE ESPAÑA 3	McCafé|Desayunos|Terraza|Signature|Minusválidos|Cumpleaños|Ticket|Delivery|Descuento familias numerosas|Para llevar	true	09:00-23:30	09:00-23:30	09:00-23:30	09:00-23:30	false	false	false	false	false	false	false	false	false	false	false
307	Son Rapinya	Centro Comercial Centro Parc | Camí de Son Rapinya, s/n	07013	Palma de Mallorca	971222003	39.5799	2.62457		Islas Baleares	PM	true	false	false	false	false	false				McAuto|Desayunos|Parking|Terraza|Cumpleaños|Delivery	true	12:30-00:00	12:30-00:00	12:30-00:00	12:30-00:00	false	false	false	false	false	true	12:30-00:00	12:30-00:00	12:30-00:00	12:30-00:00	false
234	Cas Capiscol	C/ Leocadia Togores s/n | Parcela F, Cas Capiscol II	07010	Palma de Mallorca	971755751	39.5956	2.65053		Islas Baleares	PM	true	false	false	false	false	false				McAuto|Parking|Terraza|Servicio a mesa|Cumpleaños|Delivery|Para llevar	true	09:30-00:00	09:30-00:00	09:30-00:00	09:30-00:00	false	false	false	false	false	true	09:30-00:00	09:30-02:00	09:30-00:00	09:30-02:00	false
620	Palma Aragon	C/ Aragón, nº 207	07008	Palma de Mallorca	971475988	39.587565	2.674445	palmaaragon.620@es.mcd.com	Islas Baleares	PM	true	false	false	false	false	false				McAuto|Parking|Terraza|Servicio a mesa|Cumpleaños|Delivery|Para llevar	true	11:00-00:00	11:00-00:00	11:00-00:00	11:00-00:00	false	false	false	false	false	true	11:00-01:00	11:00-01:00	11:00-01:00	11:00-01:00	false
682	Palma Levante	C/ Son Falco, nº 24	07007	Palma de Mallorca	971778666	39.56447492	2.68401832		Islas Baleares	PM	true	false	false	false	false	false				McAuto|McCafé|Play Place|Parking|Terraza|Servicio a mesa|Signature|Minusválidos|Cumpleaños|Ticket|Delivery|Descuento familias numerosas|Para llevar	true	11:00-00:30	11:00-00:00	11:00-00:00	11:00-00:00	false	false	false	false	false	true	11:00-00:30	11:00-01:00	11:00-01:00	11:00-00:30	false
